id,title,type,genres,averageRating,numVotes,releaseYear
tt0000009,"Miss Jerry",movie,Romance,5.4,215,1894
tt0000147,"The Corbett-Fitzsimmons Fight",movie,"Documentary, News, Sport",5.2,539,1897
tt0000502,Bohemios,movie,,4.4,18,1905
tt0000574,"The Story of the Kelly Gang",movie,"Action, Adventure, Biography",6,939,1906
tt0000591,"The Prodigal Son",movie,Drama,5.7,28,1907
tt0000615,"Robbery Under Arms",movie,Drama,4.3,27,1907
tt0000630,Hamlet,movie,Drama,3.1,30,1908
tt0000675,"Don Quijote",movie,Drama,4.2,22,1908
tt0000679,"The Fairylogue and Radio-Plays",movie,"Adventure, Fantasy",5.2,78,1908
tt0000838,"A Cultura do Cacau",movie,,,,1909
tt0000842,"De Garraf a Barcelona",movie,,,,1909
tt0000846,"Un día en Xochimilco",movie,,,,1909
tt0000850,"Los dos hermanos",movie,,,,1909
tt0000859,"Fabricación del corcho en Sant Feliu de Guixols",movie,,,,1909
tt0000862,Faldgruben,movie,,4.4,18,1909
tt0000867,"Fiesta de toros",movie,,,,1909
tt0000868,"Fiestas de Santa Lucía - Belenes",movie,,,,1909
tt0000869,"Fiestas en La Garriga",movie,,,,1909
tt0000879,"Gira política de Madero y Pino Suárez",movie,,,,1909
tt0000886,"Hamlet, Prince of Denmark",movie,Drama,4.7,40,1910
tt0000941,"Locura de amor",movie,Drama,4.6,29,1909
tt0000947,"Lægens offer",movie,,,,1909
tt0000959,"Melilla y el Gurugu",movie,,,,1909
tt0000984,"Niños en la alameda",movie,,,,1909
tt0001007,"La primera y segunda casetas",movie,,,,1909
tt0001010,"Protección de un convoy de víveres en el puente de camellos",movie,,4.2,16,1909
tt0001028,"Salome Mad",movie,Comedy,3.8,22,1909
tt0001038,"Sherlock Holmes VI",movie,,3.5,23,1910
tt0001043,"Smith's Knockabout Theatre",movie,,,,1909
tt0001049,Gøngehøvdingen,movie,"Drama, War",4.2,19,1909
tt0001051,"El sueño milagroso",movie,,,,1909
tt0001059,"O Terremoto de Benavente",movie,Documentary,,,1909
tt0001069,"Toma del Gurugu",movie,,,,1909
tt0001080,"Two of the Boys",movie,,,,1909
tt0001081,"La vida en el campamento",movie,,,,1909
tt0001082,"Viernes de dolores",movie,,,,1909
tt0001101,"Abraham Lincoln's Clemency",movie,,5.1,41,1910
tt0001109,L'aluminite,movie,,,,1910
tt0001112,Hamlet,movie,Drama,3.9,49,1910
tt0001113,"Amor gitano",movie,,5.2,19,1910
tt0001115,"Ansigttyven I",movie,Crime,4.3,20,1910
tt0001116,"Ansigttyven II",movie,,4.6,20,1910
tt0001122,"The Red Inn",movie,,4.9,20,1910
tt0001141,"The Butterfly",movie,,5,15,1910
tt0001142,"By Order of Napoleon",movie,,,,1910
tt0001147,"O Centenário da Guerra Peninsular",movie,Documentary,,,1910
tt0001159,"The Connecticut Yankee",movie,,5.7,32,1910
tt0001163,"Corrida da Rampa",movie,Documentary,,,1910
tt0001175,Camille,movie,"Drama, Romance",5.3,44,1912
